image_height,image_width,image_entropy,question_length,question_type,gpu_memory_usage,num_model_params,execution_time
320,768,7.428590905262375,30,2,1478.57470703125,384672572,0.1496906904503703
320,768,7.828076007667375,31,3,1478.57470703125,384672572,0.16017132811248302
320,768,7.320193462568131,23,0,1478.57470703125,384672572,0.15647071227431297
320,768,7.692085434028339,22,9,1478.57470703125,384672572,0.16866327915340662
320,768,7.672734279143019,23,0,1478.57470703125,384672572,0.16446682065725327
320,768,7.952464440646981,19,9,1478.57470703125,384672572,0.18710370268672705
320,768,7.704964456622417,20,0,1478.57470703125,384672572,0.14555407781153917
320,768,7.773609418027373,23,9,1478.57470703125,384672572,0.1423706728965044
320,800,7.163154004974594,21,0,1478.57470703125,384672572,0.1770859034731984
320,800,7.81580592584903,27,1,1478.57470703125,384672572,0.18993188720196486
320,800,7.286879428237894,30,2,1478.57470703125,384672572,0.18360671121627092
320,800,7.730987000056235,31,3,1478.57470703125,384672572,0.182595225982368
320,800,7.579945241156567,23,0,1478.57470703125,384672572,0.19617509935051203
320,800,7.722076218893458,22,9,1478.57470703125,384672572,0.17953598499298096
320,800,7.854578508576061,23,0,1478.57470703125,384672572,0.18791027273982763
320,800,7.082658005245496,19,9,1478.57470703125,384672572,0.1814243709668517
320,800,7.885237295931608,20,0,1478.57470703125,384672572,0.12113115657120943
320,800,7.85069961649603,23,9,1478.57470703125,384672572,0.1132572265341878
320,1024,7.441011644695719,21,0,1478.57470703125,384672572,0.10165970120579004
320,1024,7.793839632933098,27,1,1478.57470703125,384672572,0.28474387992173433
320,1024,7.952901260841415,30,2,1478.57470703125,384672572,0.1761634973809123
320,1024,7.500550618109436,31,3,1478.57470703125,384672572,0.22995849326252937
320,1024,7.548996036693334,23,0,1478.57470703125,384672572,0.16439709346741438
320,1024,7.9182832208727945,22,9,1478.57470703125,384672572,0.16191516164690256
320,1024,7.3792164875078035,23,0,1478.57470703125,384672572,0.1629459485411644
320,1024,7.61542335056328,19,9,1478.57470703125,384672572,0.15192322991788387
320,1024,7.582628550774326,20,0,1478.57470703125,384672572,0.17205801978707314
320,1024,7.358843830676177,23,9,1478.57470703125,384672572,0.1445207754150033
320,1152,7.656273822355063,21,0,1478.57470703125,384672572,0.21097007393836975
320,1152,7.73106548777376,27,1,1478.57470703125,384672572,0.2663177037611604
320,1152,7.648873808806057,30,2,1478.57470703125,384672572,0.21477182023227215
320,1152,7.8097733459326495,31,3,1478.57470703125,384672572,0.2068544141948223
320,1152,7.854901716775401,23,0,1478.57470703125,384672572,0.18384490348398685
320,1152,7.788379902580546,22,9,1478.57470703125,384672572,0.1753868805244565
320,1152,7.885706004410048,23,0,1478.57470703125,384672572,0.15963564347475767
