height,width,num_inference_steps,execution_time
320,1152,95,20.432651042938232
320,1152,105,22.496589183807373
320,1280,15,4.170112371444702
320,1280,25,6.539398193359375
320,1280,35,8.94052243232727
320,1280,45,11.451584577560425
320,1280,55,13.839482545852661
320,1280,65,16.292650938034058
320,1280,75,18.74349284172058
320,1280,85,21.179301261901855
320,1280,95,23.71515989303589
320,1280,105,26.054649591445923
480,320,15,1.577455759048462
480,320,25,2.4925832748413086
480,320,35,3.381779432296753
480,320,45,4.302795886993408
480,320,55,5.249077320098877
480,320,65,6.135167837142944
480,320,75,7.027633428573608
480,320,85,7.949375867843628
480,320,95,8.88402795791626
480,320,105,9.81600570678711
480,480,15,2.105340003967285
480,480,25,3.3056442737579346
480,480,35,4.553568363189697
480,480,45,5.808221340179443
480,480,55,7.008317947387695
480,480,65,8.2041494846344
480,480,75,9.397099256515503
480,480,85,10.675581693649292
480,480,95,11.901897192001343
480,480,105,13.153545618057251
480,512,15,2.1161866188049316
480,512,25,3.4268763065338135
480,512,35,4.634741544723511
480,512,45,5.866535663604736
480,512,55,7.161874055862427
480,512,65,8.37120246887207
480,512,75,9.646022081375122
480,512,85,10.821097373962402
480,512,95,12.111945152282715
480,512,105,13.393480777740479
480,576,15,2.7056710720062256
480,576,25,4.2078094482421875
480,576,35,5.771099090576172
480,576,45,7.28707218170166
480,576,55,8.86764907836914
480,576,65,10.364814043045044
480,576,75,12.04276418685913
480,576,85,13.516411781311035
480,576,95,15.171343564987183
480,576,105,16.705013751983643
480,640,15,2.950007438659668
480,640,25,4.738253355026245
480,640,35,6.402366638183594
480,640,45,8.071276903152466
480,640,55,9.786444425582886
480,640,65,11.561048030853271
480,640,75,13.274079322814941
480,640,85,15.028591632843018
480,640,95,16.63606309890747
480,640,105,18.475747108459473
480,768,15,3.3685736656188965
480,768,25,5.349475383758545
480,768,35,7.241881608963013
480,768,45,9.182304620742798
480,768,55,11.227873802185059
480,768,65,13.074265956878662
480,768,75,15.010735034942627
480,768,85,17.05832862854004
480,768,95,19.002458572387695
480,768,105,21.03024458885193
480,800,15,3.5737152099609375
480,800,25,5.552193880081177
480,800,35,7.6891868114471436
480,800,45,9.733257055282593
480,800,55,11.860309600830078
480,800,65,14.022516012191772
480,800,75,16.083890914916992
480,800,85,18.11759638786316
480,800,95,20.169574975967407
480,800,105,22.277545928955078
480,1024,15,4.69826340675354
480,1024,25,7.286389350891113
480,1024,35,9.91467571258545
480,1024,45,12.593539714813232
480,1024,55,15.280940055847168
480,1024,65,17.99283266067505
480,1024,75,20.59755778312683
480,1024,85,23.31337261199951
480,1024,95,25.910088777542114
480,1024,105,28.60293436050415
480,1152,15,5.554852724075317
480,1152,25,8.937488555908203
480,1152,35,12.19329571723938
480,1152,45,15.607003688812256
480,1152,55,18.762710571289062
480,1152,65,22.218363046646118
480,1152,75,25.536800146102905
480,1152,85,28.855668306350708
480,1152,95,32.27839398384094
480,1152,105,35.55022072792053
480,1280,15,6.3549535274505615
480,1280,25,10.207432270050049
480,1280,35,14.099185466766357
480,1280,45,17.82528781890869
480,1280,55,21.704925298690796
480,1280,65,25.4408540725708
480,1280,75,29.223459243774414
480,1280,85,33.05087733268738
480,1280,95,36.80018138885498
480,1280,105,40.53505277633667
512,320,15,1.601027488708496
512,320,25,2.524799346923828
512,320,35,3.4499104022979736
512,320,45,4.430942058563232
512,320,55,5.318982124328613
512,320,65,6.2582314014434814
512,320,75,7.17523980140686
512,320,85,8.120330810546875
512,320,95,9.040483713150024
512,320,105,9.980133056640625
512,480,15,2.36130690574646
512,480,25,3.52726674079895
512,480,35,4.666341066360474
512,480,45,5.925506591796875
512,480,55,7.535862922668457
512,480,65,8.526066780090332
512,480,75,9.950008630752563
512,480,85,10.872127294540405
512,480,95,12.35548734664917
512,480,105,13.443522691726685
512,512,15,2.601172924041748
512,512,25,4.033548593521118
512,512,35,4.961697340011597
512,512,45,6.748168706893921
512,512,55,7.750410318374634
512,512,65,9.02956247329712
512,512,75,10.193012714385986
512,512,85,11.220629215240479
512,512,95,12.536937236785889
512,512,105,13.881011962890625
512,576,15,2.809584856033325
512,576,25,4.332894802093506
512,576,35,5.876255750656128
